departamento_destino|departamento_origen|dia_habil|dia_nohabil|diferencia_horas|factor_ajuste|factor_ajuste_transmilenio|fe_total|hora_fin|hora_inicio|id_encuesta|latitud_destino|latitud_origen|longitud_destino|longitud_origen|medio_predominante|motivoviaje|municipio_destino|municipio_origen|numero_persona|numero_viaje|pi_k_i|pi_k_ii|pi_k_iii|pico_habil|pico_nohabil|ponderador_calibrado|ponderador_calibrado_viajes|tiempo_camino|valle_habil|valle_nohabil|zat_destino|zat_origen,
Bogota D.C.|Bogota D.C.||S|01:10:10|63824667536148|120293649023643|588892177589852|18:52:40|17:42:30|18391373|46227465499645|47520365147872|-7414933519013|-74047907006065|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|109793456838786|536363636363636|1||S|375858474493105|452133874132354|2|||522|27,
Bogota D.C.|Bogota D.C.||S|01:20:00|639026699191019|120293649023643|215927131782946|08:30:00|07:10:00|18391806|46489263517217|46440475806544|-74081502129421|-74165867014489|Transmilenio|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|819976449808655|263333333333333|1|||13798320228904|165985029073161|0|||290|413,
Bogota D.C.|Bogota D.C.||S|01:20:00|639026699191019|120293649023643|215927131782946|15:30:00|14:10:00|18391806|46440475806544|46489263517217|-74165867014489|-74081502129421|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|819976449808655|263333333333333|1|||13798320228904|165985029073161|2|||413|290,
Bogota D.C.|Bogota D.C.||S|00:46:00|639026699191019|120293649023643|215927131782946|11:05:00|10:19:00|18391806|46437948128341|46440475806544|-74062063034272|-74165867014489|Transmilenio|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|819976449808655|263333333333333|1|||13798320228904|165985029073161|0||S|275|413,
Bogota D.C.|Bogota D.C.||S|01:00:00|639026699191019|120293649023643|215927131782946|15:36:00|14:36:00|18391806|46440475806544|46437948128341|-74165867014489|-74062063034272|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|819976449808655|263333333333333|1|||13798320228904|165985029073161|2|||413|275,
Bogota D.C.|Bogota D.C.||S|00:46:00|639026699191019|120293649023643|215927131782946|11:05:00|10:19:00|18391806|46487881462404|46440475806544|-74079444366226|-74165867014489|Transmilenio|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|5|1|819976449808655|263333333333333|1|||13798320228904|165985029073161|0||S|291|413,
Bogota D.C.|Bogota D.C.||S|01:00:00|639026699191019|120293649023643|215927131782946|15:36:00|14:36:00|18391806|46440475806544|46487881462404|-74165867014489|-74079444366226|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|5|2|819976449808655|263333333333333|1|||13798320228904|165985029073161|2|||413|291,
Otros|Bogota D.C.||S|02:53:00|639026699191019|120293649023643|647781395348837|08:52:00|05:59:00|18391807|0|46440475806544|0|-74165867014489|MOTO|Trabajar|Otro|BOGOTA-DC 11001|1|1|819976449808655|263333333333333|3|||41394960686712|497955087219482|0|||1000|413,
Bogota D.C.|Otros||S|01:15:00|639026699191019|120293649023643|647781395348837|13:17:59|12:02:59|18391807|46440475806544|0|-74165867014489|0|OTROS|Volver a casa|BOGOTA-DC 11001|Otro|1|2|819976449808655|263333333333333|3|||41394960686712|497955087219482|0|||413|1000,
Bogota D.C.|Bogota D.C.||S|01:40:00|639026699191019|120293649023643|647781395348837|11:10:00|09:30:00|18391807|46425619920317|46440475806544|-74167605302526|-74165867014489|BICICLETA, BICICLETA CON MOTOR|Asuntos de Trabajo|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|819976449808655|263333333333333|3|||41394960686712|497955087219482|45||S|413|413
Bogota D.C.|Bogota D.C.||S|00:50:00|639026699191019|120293649023643|647781395348837|13:21:10|12:31:10|18391807|46440475806544|46425619920317|-74165867014489|-74167605302526|BICICLETA, BICICLETA CON MOTOR|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|819976449808655|263333333333333|3|||41394960686712|497955087219482|45|||413|413
Bogota D.C.|Bogota D.C.||S|00:16:00|624030075557259|120293649023643|139892941176471|08:39:00|08:23:00|18391808|46242956235248|47174553718569|-74076277775596|-74131323967405|MOTO|Otra cosa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|120597363083164|58|2|||872974026522801|10501323115329|0|||340|193,
Bogota D.C.|Bogota D.C.||S|00:16:00|624030075557259|120293649023643|139892941176471|14:33:00|14:17:00|18391808|47174553718569|46242956235248|-74131323967405|-74076277775596|MOTO|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|120597363083164|58|2|||872974026522801|10501323115329|0|||193|340,
Bogota D.C.|Bogota D.C.||S|02:00:00|10359066886287|120293649023643|1586775|09:00:00|07:00:00|18391812|46096390840277|46141827198986|-7407139179594|-74185213635847|Transmilenio|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|835144736842105|95|2|||16437508358488|197732786129915|0|||993|565,
Bogota D.C.|Bogota D.C.||S|01:50:00|10359066886287|120293649023643|1586775|11:16:00|09:26:00|18391812|46141827198986|46096390840277|-74185213635847|-7407139179594|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|835144736842105|95|2|||16437508358488|197732786129915|0||S|565|993,
Bogota D.C.|Bogota D.C.||S|00:10:00|63824667536148|120293649023643|588892177589852|13:40:00|13:30:00|18393087|46224791421959|46227465499645|-74151397416274|-7414933519013|PEATON|Compras|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|3|||523|522,
Bogota D.C.|Bogota D.C.||S|00:10:00|63824667536148|120293649023643|588892177589852|14:10:00|14:00:00|18393087|46227465499645|46224791421959|-7414933519013|-74151397416274|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|3|||522|523,
Bogota D.C.|Bogota D.C.||S|00:20:00|63824667536148|120293649023643|588892177589852|16:13:00|15:53:00|18393088|46249330164369|46227891211967|-74148754038125|-74149296554557|PEATON|Ir a ver a alguien|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|3|||523|522,
Bogota D.C.|Bogota D.C.||S|00:50:00|63824667536148|120293649023643|588892177589852|20:35:00|19:45:00|18393088|46227891211967|46249330164369|-74149296554557|-74148754038125|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|3|||522|523,
